Title / Question (Input)	Project - Dashboard	Expected Result (Output)	Actual Query	
*Total Sessions	Chargebee (399) - Overview	{"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "default", "start_time": "default", "end_time": "default"}	{"cl":"kpi","gFil":[],"gGBy":[],"qG":[{"ca":"events","dc":"website_session","fil":[],"fr":1669487400,"gBy":[],"gbt":"","me":["total_sessions"],"pgUrl":"","qt":"static","to":1669660199,"tz":"Asia/Kolkata"},{"ca":"events","dc":"website_session","fil":[],"fr":1669487400,"gBy":[],"gbt":"date","me":["total_sessions"],"pgUrl":"","qt":"static","to":1669660199,"tz":"Asia/Kolkata"}]}	Total Sessions: {"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "default", "start_time": "default", "end_time": "default"}
*Total number of Sessions in the last month	Chargebee (399) - Overview	{"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "last_month", "start_time": "default", "end_time": "default"}		Total number of Sessions in the last month: {"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "last_month", "start_time": "default", "end_time": "default"}
*Total number of Sessions in the last week	Chargebee (399) - Overview	{"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "last_week", "start_time": "default", "end_time": "default"}		Total number of Sessions in the last week: {"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "last_week", "start_time": "default", "end_time": "default"}
*How many new users we had this week?	Chargebee (399) 	{"query_type": "kpi", "query_entity_1": "new_users", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "this_week", "start_time": "default", "end_time": "default"}	{"cl":"kpi","qG":[{"ca":"events","pgUrl":"","dc":"website_session","me":["new_users"],"fil":[],"gBy":[],"fr":1679749200,"to":1679835599,"tz":"Asia/Kolkata","qt":"static","an":""},{"ca":"events","pgUrl":"","dc":"website_session","me":["new_users"],"fil":[],"gBy":[],"gbt":"hour","fr":1679749200,"to":1679835599,"tz":"Asia/Kolkata","qt":"static","an":""}],"gGBy":[],"gFil":[]}	How many new users we had this week?: {"query_type": "kpi", "query_entity_1": "new_users", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "this_week", "start_time": "default", "end_time": "default"}
*How many users this month visited our website this month?	Chargebee (399)	{"query_type": "kpi", "query_entity_1": "unique_users", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "this_month", "start_time": "default", "end_time": "default"}	{"cl":"kpi","qG":[{"ca":"events","pgUrl":"","dc":"website_session","me":["unique_users"],"fil":[],"gBy":[],"fr":1679769000,"to":1679855399,"tz":"Asia/Kolkata","qt":"static","an":""},{"ca":"events","pgUrl":"","dc":"website_session","me":["unique_users"],"fil":[],"gBy":[],"gbt":"hour","fr":1679769000,"to":1679855399,"tz":"Asia/Kolkata","qt":"static","an":""}],"gGBy":[],"gFil":[]}	How many users this month visited our website this month?: {"query_type": "kpi", "query_entity_1": "unique_users", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "this_month", "start_time": "default", "end_time": "default"}
*How many repeat users did we have in last quarter?	Chargebee (399)	{"query_type": "kpi", "query_entity_1": "repeat_users", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "last_quarter", "start_time": "default", "end_time": "default"}	{"cl":"kpi","qG":[{"ca":"events","pgUrl":"","dc":"website_session","me":["repeat_users"],"fil":[],"gBy":[],"fr":1679769000,"to":1679941799,"tz":"Asia/Kolkata","qt":"static","an":""},{"ca":"events","pgUrl":"","dc":"website_session","me":["repeat_users"],"fil":[],"gBy":[],"gbt":"date","fr":1679769000,"to":1679941799,"tz":"Asia/Kolkata","qt":"static","an":""}],"gGBy":[],"gFil":[]}	How many repeat users did we have in last quarter?: {"query_type": "kpi", "query_entity_1": "repeat_users", "query_filter_1":"none", "query_breakdown_1": "none", "time_range": "last_quarter", "start_time": "default", "end_time": "default"}
*What's the breakdown of website sessions by channel this quarter	Zuddl (12384898985000007) - Overall Reporting	{"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "$channel", "time_range": "this_quarter", "start_time": "default", "end_time": "default"}	{"cl":"kpi","qG":[{"ca":"events","pgUrl":"","dc":"website_session","me":["total_sessions"],"fil":[],"gBy":[],"fr":1675189800,"to":1677608999,"tz":"Asia/Kolkata","qt":"static"},{"ca":"events","pgUrl":"","dc":"website_session","me":["total_sessions"],"fil":[],"gBy":[],"gbt":"date","fr":1675189800,"to":1677608999,"tz":"Asia/Kolkata","qt":"static"}],"gGBy":[{"gr":"","prNa":"$channel","prDaTy":"categorical","en":"event","objTy":"","dpNa":"Channel","isPrMa":false}],"gFil":[]}	What's the breakdown of website sessions by channel this quarter: {"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "$channel", "time_range": "this_quarter", "start_time": "default", "end_time": "default"}
*Sessions By Channel	Zuddl (12384898985000007) - Overall Reporting	{"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "$channel", "time_range": "default", "start_time": "default", "end_time": "default"}	{"cl":"kpi","qG":[{"ca":"events","pgUrl":"","dc":"website_session","me":["total_sessions"],"fil":[],"gBy":[],"fr":1675189800,"to":1677608999,"tz":"Asia/Kolkata","qt":"static"},{"ca":"events","pgUrl":"","dc":"website_session","me":["total_sessions"],"fil":[],"gBy":[],"gbt":"date","fr":1675189800,"to":1677608999,"tz":"Asia/Kolkata","qt":"static"}],"gGBy":[{"gr":"","prNa":"$channel","prDaTy":"categorical","en":"event","objTy":"","dpNa":"Channel","isPrMa":false}],"gFil":[]}	Sessions By Channel: {"query_type": "kpi", "query_entity_1": "website_session", "query_filter_1":"none", "query_breakdown_1": "$channel", "time_range": "default", "start_time": "default", "end_time": "default"}
*What's the average page views and time spent per session in the month of Jan	Zuddl (12384898985000007) - Overall Reporting	{"query_type": "kpi", "query_entity_1": "average_page_views_per_session", "query_filter_1":"none", "query_breakdown_1": "none", "query_entity_2": "average_page_views_per_session", "query_filter_2":"none", "query_breakdown_2": "none", "time_range": "none", "start_time": "01-jan-2023", "end_time": "31-jan-2023"}	{"cl":"kpi","qG":[{"ca":"events","pgUrl":"","dc":"website_session","me":["total_sessions"],"fil":[],"gBy":[],"fr":1679164200,"to":1679768999,"tz":"Asia/Kolkata","qt":"static"},{"ca":"events","pgUrl":"","dc":"website_session","me":["total_sessions"],"fil":[],"gBy":[],"gbt":"date","fr":1679164200,"to":1679768999,"tz":"Asia/Kolkata","qt":"static"},{"ca":"events","pgUrl":"","dc":"website_session","me":["average_page_views_per_session"],"fil":[],"gBy":[],"fr":1679164200,"to":1679768999,"tz":"Asia/Kolkata","qt":"static"},{"ca":"events","pgUrl":"","dc":"website_session","me":["average_page_views_per_session"],"fil":[],"gBy":[],"gbt":"date","fr":1679164200,"to":1679768999,"tz":"Asia/Kolkata","qt":"static"},{"ca":"events","pgUrl":"","dc":"website_session","me":["average_session_duration"],"fil":[],"gBy":[],"fr":1679164200,"to":1679768999,"tz":"Asia/Kolkata","qt":"static"},{"ca":"events","pgUrl":"","dc":"website_session","me":["average_session_duration"],"fil":[],"gBy":[],"gbt":"date","fr":1679164200,"to":1679768999,"tz":"Asia/Kolkata","qt":"static"}],"gGBy":[],"gFil":[]}	What's the average page views and time spent per session in the month of Jan: {"query_type": "kpi", "query_entity_1": "average_page_views_per_session", "query_filter_1":"none", "query_breakdown_1": "none", "query_entity_2": "average_page_views_per_session", "query_filter_2":"none", "query_breakdown_2": "none", "time_range": "none", "start_time": "01-jan-2023", "end_time": "31-jan-2023"}
*First Session that led to Form Button Clicks	Zuddl (12384898985000007) - Overall Reporting	{"query_type": "funnel", "query_entity_1": "total_sessions", "query_filter_1":"is_first_session equals true", "query_breakdown_1": "none", "query_entity_2": "$form_submitted", "query_filter_2":"none", "query_breakdown_2": "none", "time_range": "default", "start_time": "default", "end_time": "default"}	{"query":{"cl":"funnel","ty":"unique_users","ec":"any_given_event","grpa":"users","fr":1679164200,"to":1679768999,"ewp":[{"an":"","na":"$session","pr":[{"en":"event","lop":"AND","op":"equals","pr":"$is_first_session","ty":"categorical","va":"true"}]},{"an":"","na":"$form_submitted","pr":[]}],"gbt":"date","cnvtm":"90D","gbp":[],"gup":[],"tz":"Asia/Kolkata"}}	First Session that led to Form Button Clicks: {"query_type": "funnel", "query_entity_1": "total_sessions", "query_filter_1":"is_first_session equals true", "query_breakdown_1": "none", "query_entity_2": "$form_submitted", "query_filter_2":"none", "query_breakdown_2": "none", "time_range": "default", "start_time": "default", "end_time": "default"}
